country,subregion,region,imf_estimate,imf_year,wb_estimate,wb_year,cia_estimate,cia_year
Liechtenstein,Western Europe,Europe,NA,NA,NA,NA,139100,2009
Luxembourg,Western Europe,Europe,122740,2021,118360,2020,114482,2019
Monaco,Western Europe,Europe,NA,NA,NA,NA,115700,2015
Singapore,South-eastern Asia,Asia,102742,2021,98526,2020,97341,2019
Ireland,Northern Europe,Europe,99239,2021,93612,2020,86781,2019
Qatar,Western Asia,Asia,97262,2021,89949,2020,90044,2019
Macau,Eastern Asia,Asia,90606,2021,57807,2020,123965,2019
Isle of Man,Northern Europe,Europe,NA,NA,NA,NA,84600,2014
Bermuda,Northern America,Americas,NA,NA,85264,2019,81798,2019
Cayman Islands,Caribbean,Americas,NA,NA,76748,2019,71549,2018
Switzerland,Western Europe,Europe,75880,2021,71352,2020,68628,2019
Falkland Islands,South America,Americas,NA,NA,NA,NA,70800,2015
Norway,Northern Europe,Europe,69171,2021,63198,2020,63633,2019
United Arab Emirates,Western Asia,Asia,59844,2021,69958,2019,67119,2019
United States,Northern America,Americas,68309,2021,63544,2020,62530,2019
Brunei,South-eastern Asia,Asia,64405,2021,65662,2020,62100,2019
Gibraltar,Southern Europe,Europe,NA,NA,NA,NA,61700,2014
San Marino,Southern Europe,Europe,61508,2021,63420,2019,59439,2018
Hong Kong,Eastern Asia,Asia,62839,2021,59238,2020,59848,2019
Denmark,Northern Europe,Europe,61478,2021,60399,2020,57804,2019
Netherlands,Western Europe,Europe,60461,2021,59229,2020,56935,2019
Jersey,Northern Europe,Europe,NA,NA,NA,NA,56600,2016
Iceland,Northern Europe,Europe,58151,2021,55216,2020,55874,2019
Austria,Western Europe,Europe,57891,2021,55098,2020,56188,2019
Taiwan,Eastern Asia,Asia,59398,2021,55078,2020,50500,2017
Germany,Western Europe,Europe,56956,2021,53694,2020,53919,2019
Sweden,Northern Europe,Europe,55566,2021,54563,2020,53240,2019
Belgium,Western Europe,Europe,53973,2021,51968,2020,51934,2019
Australia,"Australia, New Zealand",Oceania,54891,2021,52518,2020,49854,2019
Guernsey,Northern Europe,Europe,NA,NA,NA,NA,52500,2014
Finland,Northern Europe,Europe,51867,2021,51090,2020,48668,2019
Canada,Northern America,Americas,51713,2021,48073,2020,49031,2019
Andorra,Southern Europe,Europe,NA,NA,NA,NA,49900,2015
Kuwait,Western Asia,Asia,41507,2021,51962,2019,49854,2019
