Section,Gender,Plans,Season,Rank,Ticket,Texted,Exercise,Ethnicfood,Haircutcost,Topspeed,Height,Weight,Sleep,Jobhours,GPA,Heartrate
"A (Plantinga, 8:00 AM)",Female,Job,Summer,Oldest,No,Yes,Yes,American,10,90,62,105,7,10,3.85,15
"A (Plantinga, 8:00 AM)",Male,Job,Fall,Middle,No,Yes,Yes,Mexican,20,95,67,155,4.5,15,3.74,16
"A (Plantinga, 8:00 AM)",Female,Job,Spring,Middle,No,Yes,Yes,Italian,40,90,68.5,135,7,0,3.37,15
"A (Plantinga, 8:00 AM)",Female,Educ,Summer,Middle,No,Yes,Yes,Mexican,70,90,66,140,5.5,6,3.971,18
"A (Plantinga, 8:00 AM)",Female,Educ,Fall,Youngest,No,No,Yes,American,14,85,61,110,8,0,4,18
"A (Plantinga, 8:00 AM)",Female,Job,Fall,Oldest,No,No,No,Italian,8,80,67,130,7,10,3.8,18
"A (Plantinga, 8:00 AM)",Male,Educ,Summer,Oldest,No,Yes,Yes,Asian,17,119,69,170,7,16,3.5,23
"A (Plantinga, 8:00 AM)",Male,Job,Fall,Middle,No,Yes,Yes,Asian,20,105,66,126,7,0,3,17
"A (Plantinga, 8:00 AM)",Female,Educ,Fall,Youngest,Yes,Yes,Yes,Asian,40,95,64,140,6.5,0,3.8,19
"A (Plantinga, 8:00 AM)",Female,Educ,Fall,Oldest,Yes,No,Yes,Italian,60,80,67,150,7,4,3.2,18
"A (Plantinga, 8:00 AM)",Female,Job,Fall,Middle,No,No,Yes,Italian,20,78,66,140,9,7,3.768,21
"A (Plantinga, 8:00 AM)",Female,Job,Fall,Youngest,No,No,No,Mexican,20,81,70,200,6,7,3.8,21
"A (Plantinga, 8:00 AM)",Female,Educ,Fall,Oldest,No,No,Yes,American,0,75,62,100,8.5,7,3.91,22
"A (Plantinga, 8:00 AM)",Female,Educ,Fall,Youngest,No,Yes,No,Italian,0,80,65,160,9,0,3.9,22
"A (Plantinga, 8:00 AM)",Male,Job,NA,Oldest,No,Yes,Yes,Asian,0,90,74,182,8,20,2.78,18
"A (Plantinga, 8:00 AM)",Female,Educ,Fall,Youngest,No,Yes,Yes,American,24,85,68,122,7,12,3.7,16
"A (Plantinga, 8:00 AM)",Female,Educ,Fall,Youngest,No,Yes,Yes,American,125,110,68,130,5,3,3.2,20
"A (Plantinga, 8:00 AM)",Female,Job,Summer,Oldest,No,Yes,Yes,Mexican,30,100,69,127,7,6,3.8,19
"A (Plantinga, 8:00 AM)",Male,Job,Fall,Middle,Yes,Yes,Yes,Mexican,10,140,73,175,9.5,0,2.9,18
"A (Plantinga, 8:00 AM)",Female,Job,Fall,Oldest,No,Yes,Yes,Mexican,50,80,69,129,8,10,3.854,21
"A (Plantinga, 8:00 AM)",Male,Job,Summer,Middle,No,Yes,No,Italian,10,85,73,150,6,10,3.1,14
