age,education,black,married,nodegree,re74,re75,re78,hispanic,sample,treat,educ_cat4,sample_id
42,16,0,1,0,0,0,100.48540496826172,0,CPS,0,4,2
20,13,0,0,0,2366.794189453125,3317.4677734375,4793.7451171875,0,CPS,0,3,2
37,12,0,1,0,25862.322265625,22781.85546875,25564.669921875,0,CPS,0,2,2
48,12,0,1,0,21591.12109375,20839.35546875,20550.744140625,0,CPS,0,2,2
51,12,0,1,0,21395.193359375,21575.177734375,22783.587890625,0,CPS,0,2,2
18,11,0,0,1,1310.74951171875,1455.5322265625,2157.480712890625,0,CPS,0,1,2
52,15,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,3,2
39,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
44,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
51,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
53,12,0,1,0,25862.322265625,25243.548828125,25427.240234375,0,CPS,0,2,2
55,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
45,12,0,1,0,8987.1572265625,10666.7421875,8096.4638671875,0,CPS,0,2,2
54,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
54,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
51,8,0,1,1,15973.90234375,12967.306640625,0,0,CPS,0,1,2
16,10,0,0,1,881.6700439453125,2391.870849609375,10747.505859375,0,CPS,0,1,2
17,10,0,0,1,466.3055114746094,537.0968017578125,4306.09521484375,0,CPS,0,1,2
53,12,0,1,0,25862.322265625,4380.91943359375,25564.669921875,0,CPS,0,2,2
53,12,0,1,0,10233.2509765625,11305.88671875,16150.07421875,0,CPS,0,2,2
53,12,0,1,0,22884.236328125,24563.2265625,24081.033203125,0,CPS,0,2,2
42,12,0,1,0,0,580.06451416015625,0,0,CPS,0,2,2
46,11,0,1,1,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,1,2
49,18,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
49,17,0,1,0,25780.033203125,25243.548828125,25564.669921875,0,CPS,0,4,2
55,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
55,10,0,1,1,25862.322265625,22060.35546875,1536.835693359375,0,CPS,0,1,2
49,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
49,12,0,1,0,23999.05859375,23564.2265625,25564.669921875,0,CPS,0,2,2
41,12,0,1,0,17139.666015625,18447.484375,21143.3125,0,CPS,0,2,2
52,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
52,12,0,1,0,21389.31640625,18300.677734375,15736.310546875,0,CPS,0,2,2
44,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
54,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
44,12,0,1,0,5999.27490234375,6146.17724609375,3877.554443359375,0,CPS,0,2,2
51,12,0,1,0,25427.365234375,13549.1611328125,14803.865234375,0,CPS,0,2,2
51,9,0,1,1,0,0,7385.67724609375,0,CPS,0,1,2
51,8,0,1,1,0,0,0,0,CPS,0,1,2
48,6,0,1,1,21553.89453125,19980,2813.59130859375,1,CPS,0,1,2
47,12,0,1,0,0,5976.0966796875,4523.32080078125,0,CPS,0,2,2
47,12,0,1,0,19716.1015625,25243.548828125,0,0,CPS,0,2,2
47,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
43,12,0,1,0,23967.7109375,19331.90234375,25564.669921875,0,CPS,0,2,2
53,16,0,1,0,22143.6328125,21457.015625,21929.462890625,0,CPS,0,4,2
50,11,0,1,1,24823.91015625,20504.564453125,0,0,CPS,0,1,2
53,12,0,1,0,25862.322265625,0,16463.3515625,0,CPS,0,2,2
53,10,0,1,1,0,0,0,0,CPS,0,1,2
50,12,0,1,0,14379.05859375,11663.951171875,8134.884765625,0,CPS,0,2,2
46,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
46,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
42,12,0,1,0,0,3931.54833984375,14518.6640625,0,CPS,0,2,2
46,12,0,1,0,20354.822265625,24445.064453125,25564.669921875,0,CPS,0,2,2
55,18,0,1,0,25862.322265625,25243.548828125,25304.58984375,0,CPS,0,4,2
55,18,0,1,0,25862.322265625,23632.2578125,25564.669921875,0,CPS,0,4,2
46,8,0,1,1,22778.435546875,25243.548828125,25564.669921875,0,CPS,0,1,2
55,14,0,1,0,0,0,0,0,CPS,0,3,2
55,14,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,3,2
55,14,0,1,0,13714.8671875,23274.193359375,19321.275390625,0,CPS,0,3,2
55,14,0,1,0,8393.4990234375,19036.5,10639.630859375,0,CPS,0,3,2
49,18,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
55,13,0,1,0,13738.37890625,13024.5966796875,5989.2255859375,0,CPS,0,3,2
55,12,0,1,0,23334.8671875,23612.564453125,24834.671875,0,CPS,0,2,2
55,12,0,1,0,25627.208984375,17298.09765625,25564.669921875,0,CPS,0,2,2
55,12,0,1,0,23262.375,23401.306640625,0,0,CPS,0,2,2
49,15,0,1,0,25862.322265625,25243.548828125,9238.74609375,0,CPS,0,3,2
52,16,0,1,0,8961.6865234375,22427.37109375,24310.080078125,0,CPS,0,4,2
49,13,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,3,2
52,15,0,1,0,0,0,0,0,CPS,0,3,2
49,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
49,12,0,1,0,0,0,0,0,CPS,0,2,2
52,14,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,3,2
52,13,0,1,0,25470.46875,25241.7578125,23429.35546875,0,CPS,0,3,2
52,12,0,1,0,16432.37109375,19664.90234375,21861.486328125,0,CPS,0,2,2
45,14,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,3,2
49,3,0,1,1,5327.24658203125,8240.8544921875,13042.4150390625,1,CPS,0,1,2
40,13,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,3,2
48,18,0,1,0,9651.3486328125,784.16131591796875,17348.509765625,0,CPS,0,4,2
48,18,0,1,0,25862.322265625,25241.7578125,25564.669921875,0,CPS,0,4,2
54,18,0,1,0,19412.416015625,18189.677734375,16716.04296875,0,CPS,0,4,2
48,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
54,16,0,1,0,11069.857421875,10741.935546875,0,0,CPS,0,4,2
48,13,0,1,0,0,0,0,0,CPS,0,3,2
51,18,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,4,2
51,18,0,1,0,8889.193359375,24437.90234375,11489.32421875,0,CPS,0,4,2
48,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
48,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
51,16,0,1,0,0,0,0,0,CPS,0,4,2
54,12,0,1,0,19919.865234375,19374.87109375,20312.830078125,0,CPS,0,2,2
54,12,0,1,0,25862.322265625,25243.548828125,23244.638671875,0,CPS,0,2,2
54,12,0,1,0,12678.4150390625,12478.548828125,15923.9814453125,0,CPS,0,2,2
54,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,CPS,0,2,2
51,15,0,1,0,12788.134765625,12992.37109375,7415.23193359375,0,CPS,0,3,2
51,14,0,1,0,22345.4375,25243.548828125,24245.060546875,0,CPS,0,3,2
44,12,0,1,0,25862.322265625,25055.564453125,25564.669921875,0,CPS,0,2,2
51,12,0,1,0,21236.4921875,17949.7734375,22204.3203125,0,CPS,0,2,2
51,12,0,1,0,25862.322265625,25243.548828125,215.74807739257812,0,CPS,0,2,2
51,8,0,1,1,20221.591796875,14548.1611328125,6921.67138671875,0,CPS,0,1,2
51,8,0,1,1,9847.275390625,10756.2578125,10635.1982421875,0,CPS,0,1,2
51,3,0,1,1,13246.6025390625,11964.7255859375,12605.0078125,1,CPS,0,1,2
43,16,0,1,0,17182.76953125,22568.806640625,19968.51953125,0,CPS,0,4,2
43,15,0,1,0,2121.885986328125,3260.177490234375,0,0,CPS,0,3,2
47,14,0,1,0,19714.142578125,18368.708984375,4317.9169921875,0,CPS,0,3,2
