year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,544,545,-1,1004,1022,-18,B6,725,N804JB,JFK,BQN,183,1576,5,45,2013-01-01T10:00:00Z
2013,1,1,558,600,-2,924,917,7,UA,194,N29129,JFK,LAX,345,2475,6,0,2013-01-01T11:00:00Z
2013,1,1,558,600,-2,923,937,-14,UA,1124,N53441,EWR,SFO,361,2565,6,0,2013-01-01T11:00:00Z
2013,1,1,611,600,11,945,931,14,UA,303,N532UA,JFK,SFO,366,2586,6,0,2013-01-01T11:00:00Z
2013,1,1,628,630,-2,1016,947,29,UA,1665,N33289,EWR,LAX,366,2454,6,30,2013-01-01T11:00:00Z
2013,1,1,655,700,-5,1037,1045,-8,DL,1865,N705TW,JFK,SFO,362,2586,7,0,2013-01-01T12:00:00Z
2013,1,1,658,700,-2,1027,1025,2,VX,399,N627VA,JFK,LAX,361,2475,7,0,2013-01-01T12:00:00Z
2013,1,1,702,700,2,1058,1014,44,B6,671,N779JB,JFK,LAX,381,2475,7,0,2013-01-01T12:00:00Z
2013,1,1,729,730,-1,1049,1115,-26,VX,11,N635VA,JFK,SFO,356,2586,7,30,2013-01-01T12:00:00Z
2013,1,1,734,737,-3,1047,1113,-26,B6,643,N625JB,JFK,SFO,350,2586,7,37,2013-01-01T12:00:00Z
2013,1,1,743,730,13,1107,1100,7,AA,33,N338AA,JFK,LAX,358,2475,7,30,2013-01-01T12:00:00Z
2013,1,1,745,745,0,1135,1125,10,AA,59,N336AA,JFK,SFO,378,2586,7,45,2013-01-01T12:00:00Z
2013,1,1,746,746,0,1119,1129,-10,UA,1668,N24224,EWR,SFO,373,2565,7,46,2013-01-01T12:00:00Z
2013,1,1,803,800,3,1132,1144,-12,UA,223,N510UA,JFK,SFO,369,2586,8,0,2013-01-01T13:00:00Z
2013,1,1,826,817,9,1145,1158,-13,UA,1480,N76522,EWR,SFO,357,2565,8,17,2013-01-01T13:00:00Z
2013,1,1,828,823,5,1150,1143,7,UA,1506,N76528,EWR,LAX,359,2454,8,23,2013-01-01T13:00:00Z
2013,1,1,829,830,-1,1152,1200,-8,UA,443,N554UA,JFK,LAX,360,2475,8,30,2013-01-01T13:00:00Z
2013,1,1,856,900,-4,1226,1220,6,AA,1,N324AA,JFK,LAX,358,2475,9,0,2013-01-01T14:00:00Z
